Word,中文意思,Example Sentence
steaming,冒着热气的；愤怒的,She walked into the room with a steaming cup of coffee.
collide,碰撞；冲突,The two cars collided at the intersection.
splash,溅起；泼洒,The kids splash water at each other in the pool.
pierce,刺穿；穿透,The arrow pierced the target easily.
angular,有棱角的；角度分明的,He has an angular face with sharp features.
prominent,突出的；显著的,She played a prominent role in the project.
cold (冷酷的),冷酷的；无情的,He gave her a cold look and walked away.
aura,气场；氛围,She has a calm aura that makes people feel relaxed.
intimidating,令人生畏的,The new manager seems intimidating at first.
dodge,躲避；闪避,He managed to dodge the flying ball.
tremble,颤抖,Her hands trembled with nervousness.
clumsy,笨拙的,He is clumsy and often drops things.
deliberate,故意的；深思熟虑的,It was a deliberate decision after careful thought.
straighten,弄直；整理,She straightened her hair before the meeting.
stubborn,固执的,He is too stubborn to admit his mistake.
dormitory,宿舍,She lives in the university dormitory.
gasp,喘气；倒吸一口气,She gasped in surprise when she heard the news.
notorious,臭名昭著的,The area is notorious for its high crime rate.
bachelor,单身男子；学士,He is a bachelor who enjoys living alone.
ruthless,无情的；残忍的,The ruthless leader showed no mercy.
shrug,耸肩,He shrugged and said he didn’t know.
deceased,已故的,The deceased man was remembered by his family.
tension,紧张；张力,There was clear tension between the two managers during the meeting.
synergy,协同作用；协同效应,The synergy between the two teams improved the final project outcome.
gloomy,阴沉的；忧郁的,The sky looked gloomy before the storm started.
debt,债务；负债,Many students graduate with a large amount of debt.
enormous,巨大的；庞大的,The company made an enormous profit last year.
lounge,休息室；闲逛,She waited in the airport lounge before boarding.
frown,皱眉；蹙额,He began to frown when he heard the bad news.
prominent,著名的；突出的,She is a prominent researcher in artificial intelligence.
reluctantly,不情愿地；勉强地,He reluctantly agreed to join the meeting.
intervene,干预；介入,The teacher had to intervene when the argument became serious.
dismiss,解雇；忽视,The manager decided to dismiss the complaint without investigation.
hastily,匆忙地；草率地,She hastily packed her bag before leaving.
stride,大步走；阔步前行,He strode confidently across the stage.
grip,紧握；控制,She tightened her grip on the steering wheel.
deliberately,故意地；深思熟虑地,He deliberately avoided answering the question.
clench,紧握；咬紧,She clenched her fists in anger.
narrow,狭窄的；缩小,They walked through a narrow street in the old town.
pound,重击；猛敲,His heart began to pound before the presentation.
glare,怒视；刺眼的光,She glared at him after the rude comment.
toss,扔；抛,He tossed the keys onto the table.
collapse,倒塌；崩溃,The old building collapsed during the earthquake.
flush,脸红；冲洗,Her face began to flush when she was embarrassed.
spacious,宽敞的；广阔的,They moved into a spacious new apartment.
