Word,中文意思,Example Sentence
steaming,冒着热气的；愤怒的,She walked into the room with a steaming cup of coffee.
collide,碰撞；冲突,The two cars collided at the intersection.
splash,溅起；泼洒,The kids splash water at each other in the pool.
pierce,刺穿；穿透,The arrow pierced the target easily.
angular,有棱角的；角度分明的,He has an angular face with sharp features.
prominent,突出的；显著的,She played a prominent role in the project.
cold (冷酷的),冷酷的；无情的,He gave her a cold look and walked away.
aura,气场；氛围,She has a calm aura that makes people feel relaxed.
intimidating,令人生畏的,The new manager seems intimidating at first.
dodge,躲避；闪避,He managed to dodge the flying ball.
tremble,颤抖,Her hands trembled with nervousness.
clumsy,笨拙的,He is clumsy and often drops things.
deliberate,故意的；深思熟虑的,It was a deliberate decision after careful thought.
straighten,弄直；整理,She straightened her hair before the meeting.
stubborn,固执的,He is too stubborn to admit his mistake.
dormitory,宿舍,She lives in the university dormitory.
gasp,喘气；倒吸一口气,She gasped in surprise when she heard the news.
notorious,臭名昭著的,The area is notorious for its high crime rate.
bachelor,单身男子；学士,He is a bachelor who enjoys living alone.
ruthless,无情的；残忍的,The ruthless leader showed no mercy.
shrug,耸肩,He shrugged and said he didn’t know.
deceased,已故的,The deceased man was remembered by his family.
